source,brand,description,original_price,final_price
babymarkt,Lionelo,Hochstuhl Niles Grey,199.99,199.99
babymarkt,Nomi,by evomove Hochstuhl Set Weiß,454.8,454.8
babymarkt,Treppy,Hochstuhl grau,139.0,139.0
babymarkt,Treppy,Hochstuhl woody gray,149.0,149.0
babymarkt,roba,2-in-1 Hochstuhl Style Up Wood,129.9,129.9
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche Serene Pink,209.0,209.0
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche Warm Red,209.0,209.0
babymarkt,Peg Perego,Hochstuhl Prima Pappa Follow Wonder Grey,159.0,159.0
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Oak Grey Wash inkl. Newborn Set™ Grey,348.0,348.0
babymarkt,STOKKE,Tripp Trapp® Hochstuhl inkl. Baby Set Buche Storm Grey,258.0,258.0
babymarkt,Pinolino,Kombihochstuhl Lene natur grau,89.9,89.9
babymarkt,HOMCOM,Hochstuhl für Babys rosa,69.9,69.9
babymarkt,chicco,Stubenwagen Baby Hug 4 in 1 Glacial,249.0,249.0
babymarkt,Lionelo,Hochstuhl Mona Flower,109.99,109.99
babymarkt,Treppy,Hochstuhl pastell blau,139.0,139.0
babymarkt,Treppy,Hochstuhl pastell braun,139.0,139.0
babymarkt,Treppy,Hochstuhl weiß,139.0,139.0
babymarkt,Treppy,StepUp weiß,189.0,189.0
babymarkt,Lionelo,Hochstuhl Cora Stone,99.99,99.99
babymarkt,Britax Römer,"Kinderwagen Smile III Frost Grey, brown",599.0,599.0
babymarkt,cybex GOLD,Kindersitz Pallas G i-Size Navy Blue,299.95,299.95
babymarkt,Luma,Babycare Bade- und Pflegeset Sage Green,119.99,119.99
babymarkt,PHILIPS AVENT,Starterset für Neugeborenen SCD301/01 Naturnah 2.0,39.99,39.99
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche Storm inkl. Newborn Set™ Grey,308.0,308.0
babymarkt,Zapf,Creation Baby Annabell® Annabell 43 cm,69.99,69.99
babymarkt,Staccato,Schneeanzug tinte Alloverprint,59.99,59.99
babymarkt,Peg Perego,Hochstuhl Prima Pappa Follow Me Paloma Lederimitat,159.0,159.0
babymarkt,Peg Perego,Hochstuhl Prima Pappa Follow Me Petrolio Lederimitat,159.0,159.0
babymarkt,Bumbo,Sitzerhöhung Hemlock Green Multi Seat,87.95,87.95
babymarkt,STOKKE,Tripp Trapp® Hochstuhl inkl. Baby Set Buche weiß transparent,258.0,258.0
babymarkt,roba,Treppenhochstuhl Sit Up Fun natur,94.9,94.9
babymarkt,chicco,Sitzerhöhung Pocket Snack Saffron,39.9,39.9
babymarkt,Safety 1st,Sitzerhöhung Easy Care Booster Red Campus,29.9,29.9
babymarkt,Peg Perego,Hochstuhl Siesta Follow Me Licorice Lederimitat,229.0,229.0
babymarkt,Peg Perego,Hochstuhl Siesta Follow Me Arancia Lederimitat,229.0,229.0
babymarkt,Bumbo,Sitzerhöhung Cradle Pink Multi Seat,87.95,87.95
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche weiß inkl. Classic Baby Sitzkissen Blue Fox + gratis Baby Set weiß,303.0,303.0
babymarkt,Nomi,"by evomove Hochstuhlset Eiche mit Buchekern, schwarz lackiert/schwarz",284.9,284.9
